"content_id","datetime","day_of_week","time_of_day","content_type","reaction_type","sentiment","category","score"
"89cb4504-fccd-40f4-945e-410f74ee4735","2021-03-05 22:28:32","Friday   ","Night","photo","heart","positive","animals",60
"89cb4504-fccd-40f4-945e-410f74ee4735","2021-01-15 00:54:40","Friday   ","Morning","photo","heart","positive","animals",60
"2e32de07-dc79-4cdc-bf1d-bac90ba3fd85","2020-11-26 15:47:27","Thursday ","Afternoon","video","heart","positive","studying",60
"a287c7ad-f5c8-4d87-940b-b7b24e2b42ac","2020-06-18 21:13:23","Thursday ","Night","video","heart","positive","fitness",60
"a287c7ad-f5c8-4d87-940b-b7b24e2b42ac","2020-12-05 23:47:05","Saturday ","Night","video","heart","positive","fitness",60
"b2a20047-ac6f-4caa-90b1-fe735433e362","2020-09-10 00:23:41","Thursday ","Morning","photo","heart","positive","culture",60
"b2a20047-ac6f-4caa-90b1-fe735433e362","2021-05-09 09:56:10","Sunday   ","Morning","photo","heart","positive","culture",60
"b2a20047-ac6f-4caa-90b1-fe735433e362","2021-01-13 01:16:00","Wednesday","Morning","photo","heart","positive","culture",60
"a7849ef3-5930-4ba9-9cbe-e215811e713e","2020-09-26 22:01:17","Saturday ","Night","photo","heart","positive","studying",60
"cab37e79-0e76-4bd2-b6bd-2fc8bf66ca99","2021-01-22 23:29:53","Friday   ","Night","photo","heart","positive","animals",60
"54e29395-9eba-4945-abee-cad58cbab090","2020-08-15 06:22:18","Saturday ","Morning","video","heart","positive","science",60
"998194db-5706-4b01-9565-7c7e7d4ea5f5","2021-04-22 04:51:29","Thursday ","Morning","audio","heart","positive","cooking",60
"26c02731-b5d8-4ad3-99a2-5e589e107937","2021-05-15 17:03:23","Saturday ","Afternoon","video","heart","positive","studying",60
"26c02731-b5d8-4ad3-99a2-5e589e107937","2021-02-28 16:00:52","Sunday   ","Afternoon","video","heart","positive","studying",60
"26c02731-b5d8-4ad3-99a2-5e589e107937","2021-06-13 23:51:07","Sunday   ","Night","video","heart","positive","studying",60
"26c02731-b5d8-4ad3-99a2-5e589e107937","2020-12-31 06:24:33","Thursday ","Morning","video","heart","positive","studying",60
"b23a874f-72fa-4abb-9ca5-941850c672bc","2020-10-25 04:40:36","Sunday   ","Morning","photo","heart","positive","healthy eating",60
"b23a874f-72fa-4abb-9ca5-941850c672bc","2021-05-01 11:25:36","Saturday ","Morning","photo","heart","positive","healthy eating",60
"b23a874f-72fa-4abb-9ca5-941850c672bc","2021-06-04 22:56:58","Friday   ","Night","photo","heart","positive","healthy eating",60
"98d99f96-c8f9-4075-a3c8-f7aceb7e3bd2","2020-09-20 21:40:56","Sunday   ","Night","photo","heart","positive","technology",60
"9c8f1389-d04e-4a55-a2f5-1612539b70a7","2021-04-13 15:05:41","Tuesday  ","Afternoon","audio","heart","positive","technology",60
"58b0f92a-76ae-4521-a223-2b117f4f4e70","2020-08-11 21:14:44","Tuesday  ","Night","video","heart","positive","dogs",60
"58b0f92a-76ae-4521-a223-2b117f4f4e70","2020-09-30 12:11:28","Wednesday","Afternoon","video","heart","positive","dogs",60
"bc06bab7-dbf7-4d7a-81b4-9f76f2f0b87c","2021-03-29 04:09:57","Monday   ","Morning","GIF","heart","positive","culture",60
"bc06bab7-dbf7-4d7a-81b4-9f76f2f0b87c","2020-12-20 00:50:06","Sunday   ","Morning","GIF","heart","positive","culture",60
"a1249a46-6362-4a73-a1e9-3b5d236cdd73","2021-05-28 21:31:29","Friday   ","Night","GIF","heart","positive","studying",60
"a1249a46-6362-4a73-a1e9-3b5d236cdd73","2021-06-17 16:34:32","Thursday ","Afternoon","GIF","heart","positive","studying",60
"8e0f1d3e-b588-44de-a423-8224eb26aa99","2021-02-03 09:17:00","Wednesday","Morning","audio","heart","positive","healthy eating",60
"8e0f1d3e-b588-44de-a423-8224eb26aa99","2021-06-08 09:53:11","Tuesday  ","Morning","audio","heart","positive","healthy eating",60
"8e0f1d3e-b588-44de-a423-8224eb26aa99","2020-11-29 00:11:35","Sunday   ","Morning","audio","heart","positive","healthy eating",60
"c61b7ef6-d7ab-41fc-aebc-dc16f256957f","2020-11-01 22:19:18","Sunday   ","Night","GIF","heart","positive","cooking",60
"c61b7ef6-d7ab-41fc-aebc-dc16f256957f","2021-01-01 21:25:28","Friday   ","Night","GIF","heart","positive","cooking",60
"c61b7ef6-d7ab-41fc-aebc-dc16f256957f","2021-04-24 18:34:24","Saturday ","Night","GIF","heart","positive","cooking",60
"c61b7ef6-d7ab-41fc-aebc-dc16f256957f","2020-11-29 17:32:08","Sunday   ","Afternoon","GIF","heart","positive","cooking",60
"c61b7ef6-d7ab-41fc-aebc-dc16f256957f","2020-09-23 05:03:15","Wednesday","Morning","GIF","heart","positive","cooking",60
"f3e9785c-d4e0-4258-a876-4d58ddb38790","2020-09-22 03:25:47","Tuesday  ","Morning","GIF","heart","positive","studying",60
"f3e9785c-d4e0-4258-a876-4d58ddb38790","2020-11-13 13:43:24","Friday   ","Afternoon","GIF","heart","positive","studying",60
"f3e9785c-d4e0-4258-a876-4d58ddb38790","2021-02-24 16:30:46","Wednesday","Afternoon","GIF","heart","positive","studying",60
"f3e9785c-d4e0-4258-a876-4d58ddb38790","2021-02-05 21:50:05","Friday   ","Night","GIF","heart","positive","studying",60
"f3e9785c-d4e0-4258-a876-4d58ddb38790","2020-11-09 19:53:22","Monday   ","Night","GIF","heart","positive","studying",60
"f3e9785c-d4e0-4258-a876-4d58ddb38790","2020-08-07 23:16:39","Friday   ","Night","GIF","heart","positive","studying",60
"73a7ec8f-08e7-41c6-a995-51537ff8772a","2020-07-01 03:47:12","Wednesday","Morning","video","heart","positive","technology",60
"e7baa303-bc5c-4990-b813-e16fc42342d3","2021-01-09 23:13:13","Saturday ","Night","audio","heart","positive","science",60
"b9b0dcaa-7b39-4b15-9f75-165ae7aac6b8","2021-02-17 18:11:23","Wednesday","Night","GIF","heart","positive","animals",60
"b9b0dcaa-7b39-4b15-9f75-165ae7aac6b8","2021-06-07 06:36:40","Monday   ","Morning","GIF","heart","positive","animals",60
"b9b0dcaa-7b39-4b15-9f75-165ae7aac6b8","2021-04-26 21:04:54","Monday   ","Night","GIF","heart","positive","animals",60
"24f994fa-51d4-4e5e-bdac-79de67e7afbb","2020-11-07 11:29:19","Saturday ","Morning","video","heart","positive","food",60
"24f994fa-51d4-4e5e-bdac-79de67e7afbb","2020-09-01 12:52:32","Tuesday  ","Afternoon","video","heart","positive","food",60
"24f994fa-51d4-4e5e-bdac-79de67e7afbb","2021-03-31 03:24:37","Wednesday","Morning","video","heart","positive","food",60
"24f994fa-51d4-4e5e-bdac-79de67e7afbb","2020-12-27 12:45:53","Sunday   ","Afternoon","video","heart","positive","food",60
"503bd384-9733-4739-81f5-561b2328f6d8","2020-11-11 03:51:30","Wednesday","Morning","GIF","heart","positive","food",60
"503bd384-9733-4739-81f5-561b2328f6d8","2021-05-15 12:14:44","Saturday ","Afternoon","GIF","heart","positive","food",60
"5dc325aa-d5d1-4552-9997-cd25b7608be9","2021-04-05 21:31:39","Monday   ","Night","audio","heart","positive","healthy eating",60
"5dc325aa-d5d1-4552-9997-cd25b7608be9","2021-03-31 00:23:22","Wednesday","Morning","audio","heart","positive","healthy eating",60
"03ed0e2b-bd63-4079-8910-62c187526ca0","2021-04-15 22:37:49","Thursday ","Night","audio","heart","positive","healthy eating",60
"03ed0e2b-bd63-4079-8910-62c187526ca0","2021-01-08 07:18:12","Friday   ","Morning","audio","heart","positive","healthy eating",60
"46ebc5f2-bfe8-4ada-aed3-6265842bd1f3","2020-12-18 11:50:40","Friday   ","Morning","video","heart","positive","food",60
"46ebc5f2-bfe8-4ada-aed3-6265842bd1f3","2020-10-07 23:10:22","Wednesday","Night","video","heart","positive","food",60
"21dfb75d-9d98-4627-b074-f4372025d23f","2020-09-14 05:04:56","Monday   ","Morning","GIF","heart","positive","culture",60
"21dfb75d-9d98-4627-b074-f4372025d23f","2021-04-21 03:13:28","Wednesday","Morning","GIF","heart","positive","culture",60
"21dfb75d-9d98-4627-b074-f4372025d23f","2021-05-20 00:27:27","Thursday ","Morning","GIF","heart","positive","culture",60
"235a0022-a683-4381-8e9e-aaf75fe90734","2021-03-15 22:35:42","Monday   ","Night","photo","heart","positive","fitness",60
"235a0022-a683-4381-8e9e-aaf75fe90734","2021-01-14 06:51:17","Thursday ","Morning","photo","heart","positive","fitness",60
"6547f69d-891d-4e1c-bd69-fc8735b8fca8","2020-11-16 11:16:04","Monday   ","Morning","video","heart","positive","science",60
"6547f69d-891d-4e1c-bd69-fc8735b8fca8","2021-04-15 13:16:45","Thursday ","Afternoon","video","heart","positive","science",60
"6547f69d-891d-4e1c-bd69-fc8735b8fca8","2020-10-25 00:16:18","Sunday   ","Morning","video","heart","positive","science",60
"6547f69d-891d-4e1c-bd69-fc8735b8fca8","2021-02-01 08:32:11","Monday   ","Morning","video","heart","positive","science",60
"8644e163-704a-4a99-a859-5e07fcfe3879","2021-04-25 11:51:59","Sunday   ","Morning","photo","heart","positive","education",60
"37c5a8aa-d239-4b94-ae68-2754825d36ff","2021-05-27 15:32:12","Thursday ","Afternoon","photo","heart","positive","public speaking",60
"37c5a8aa-d239-4b94-ae68-2754825d36ff","2020-06-27 01:58:12","Saturday ","Morning","photo","heart","positive","public speaking",60
"37c5a8aa-d239-4b94-ae68-2754825d36ff","2020-07-27 22:14:46","Monday   ","Night","photo","heart","positive","public speaking",60
"37c5a8aa-d239-4b94-ae68-2754825d36ff","2021-05-22 15:08:50","Saturday ","Afternoon","photo","heart","positive","public speaking",60
"37c5a8aa-d239-4b94-ae68-2754825d36ff","2021-01-02 19:49:15","Saturday ","Night","photo","heart","positive","public speaking",60
"37c5a8aa-d239-4b94-ae68-2754825d36ff","2021-01-17 14:02:00","Sunday   ","Afternoon","photo","heart","positive","public speaking",60
"c056339f-7bc9-487a-85eb-aa7c6da9e5fb","2021-02-23 23:46:25","Tuesday  ","Night","video","heart","positive","veganism",60
"c056339f-7bc9-487a-85eb-aa7c6da9e5fb","2020-11-06 08:26:11","Friday   ","Morning","video","heart","positive","veganism",60
"c056339f-7bc9-487a-85eb-aa7c6da9e5fb","2020-06-22 15:12:40","Monday   ","Afternoon","video","heart","positive","veganism",60
"c056339f-7bc9-487a-85eb-aa7c6da9e5fb","2021-06-06 07:27:39","Sunday   ","Morning","video","heart","positive","veganism",60
"c056339f-7bc9-487a-85eb-aa7c6da9e5fb","2020-11-03 16:27:40","Tuesday  ","Afternoon","video","heart","positive","veganism",60
"9489565a-a899-4693-ad48-369f86b4b862","2021-02-06 10:56:30","Saturday ","Morning","GIF","heart","positive","studying",60
"9489565a-a899-4693-ad48-369f86b4b862","2021-06-11 02:34:37","Friday   ","Morning","GIF","heart","positive","studying",60
"74989207-b147-4a13-89b8-f0d868dfdf4a","2020-08-01 15:39:57","Saturday ","Afternoon","audio","heart","positive","science",60
"74989207-b147-4a13-89b8-f0d868dfdf4a","2021-01-14 12:34:55","Thursday ","Afternoon","audio","heart","positive","science",60
"74989207-b147-4a13-89b8-f0d868dfdf4a","2021-04-18 08:06:29","Sunday   ","Morning","audio","heart","positive","science",60
"4426d1ae-cb98-45cf-8d1d-c176ef755293","2020-08-08 04:29:20","Saturday ","Morning","GIF","heart","positive","science",60
"4426d1ae-cb98-45cf-8d1d-c176ef755293","2021-03-11 15:19:13","Thursday ","Afternoon","GIF","heart","positive","science",60
"4426d1ae-cb98-45cf-8d1d-c176ef755293","2021-02-27 11:57:06","Saturday ","Morning","GIF","heart","positive","science",60
"4426d1ae-cb98-45cf-8d1d-c176ef755293","2020-11-14 17:42:04","Saturday ","Afternoon","GIF","heart","positive","science",60
"4426d1ae-cb98-45cf-8d1d-c176ef755293","2021-05-03 15:32:50","Monday   ","Afternoon","GIF","heart","positive","science",60
"4426d1ae-cb98-45cf-8d1d-c176ef755293","2020-12-28 19:40:34","Monday   ","Night","GIF","heart","positive","science",60
"217f4060-b378-4d79-992f-20502d407f7c","2020-07-10 11:25:49","Friday   ","Morning","photo","heart","positive","cooking",60
"217f4060-b378-4d79-992f-20502d407f7c","2021-02-25 18:49:44","Thursday ","Night","photo","heart","positive","cooking",60
"217f4060-b378-4d79-992f-20502d407f7c","2020-09-22 05:11:01","Tuesday  ","Morning","photo","heart","positive","cooking",60
"edea43f3-1541-4e42-8419-d1cdf749025c","2020-09-15 15:04:16","Tuesday  ","Afternoon","photo","heart","positive","cooking",60
"edea43f3-1541-4e42-8419-d1cdf749025c","2020-06-24 01:28:48","Wednesday","Morning","photo","heart","positive","cooking",60
"77a3ac9f-7607-411f-a280-5431c71e3943","2020-11-24 03:03:43","Tuesday  ","Morning","audio","heart","positive","tennis",60
"77a3ac9f-7607-411f-a280-5431c71e3943","2021-04-17 01:23:59","Saturday ","Morning","audio","heart","positive","tennis",60
"4789b064-7b3c-4339-bf15-b9e38222930c","2020-07-13 13:26:14","Monday   ","Afternoon","photo","heart","positive","education",60
"df6e9952-4e2a-488a-bb83-3a7241f30e6f","2020-08-07 17:31:19","Friday   ","Afternoon","video","heart","positive","culture",60
"25c8f882-464d-4465-9ed2-e7f7706c1775","2020-09-21 22:40:41","Monday   ","Night","audio","heart","positive","healthy eating",60
"25c8f882-464d-4465-9ed2-e7f7706c1775","2021-02-28 07:01:06","Sunday   ","Morning","audio","heart","positive","healthy eating",60
"e3bfdd7e-d7e2-4717-b780-2fa14f3cf858","2021-04-11 21:12:00","Sunday   ","Night","photo","heart","positive","dogs",60
"e3bfdd7e-d7e2-4717-b780-2fa14f3cf858","2020-07-04 22:48:39","Saturday ","Night","photo","heart","positive","dogs",60
"b529487b-160b-48cd-aacc-2741b18462c6","2020-07-12 12:44:18","Sunday   ","Afternoon","GIF","heart","positive","studying",60
"2669dbfc-65d4-4770-a916-e6507f881131","2020-12-23 11:42:37","Wednesday","Morning","photo","heart","positive","science",60
"2669dbfc-65d4-4770-a916-e6507f881131","2021-02-06 19:42:20","Saturday ","Night","photo","heart","positive","science",60
"2669dbfc-65d4-4770-a916-e6507f881131","2021-01-09 00:56:34","Saturday ","Morning","photo","heart","positive","science",60
"2669dbfc-65d4-4770-a916-e6507f881131","2021-06-12 01:21:32","Saturday ","Morning","photo","heart","positive","science",60
"2669dbfc-65d4-4770-a916-e6507f881131","2021-04-07 00:16:07","Wednesday","Morning","photo","heart","positive","science",60
"cafddd25-5653-4219-8dc7-a3eae45ea926","2020-12-16 12:39:12","Wednesday","Afternoon","video","heart","positive","fitness",60
"98a7f6b9-8dd3-40c9-8c98-db01b6c80015","2021-02-24 20:02:47","Wednesday","Night","video","heart","positive","technology",60
"56d13215-1444-49b0-8e17-3a888bcd4e1e","2020-09-08 22:26:40","Tuesday  ","Night","GIF","heart","positive","fitness",60
"56d13215-1444-49b0-8e17-3a888bcd4e1e","2021-01-26 23:34:50","Tuesday  ","Night","GIF","heart","positive","fitness",60
"56d13215-1444-49b0-8e17-3a888bcd4e1e","2020-09-29 06:51:01","Tuesday  ","Morning","GIF","heart","positive","fitness",60
"a03b3048-776e-4925-a52e-f6b1760a1be4","2020-10-10 08:58:18","Saturday ","Morning","photo","heart","positive","education",60
"2771fa81-b26c-4e11-86ac-90e85faf4981","2020-08-18 04:37:48","Tuesday  ","Morning","video","heart","positive","dogs",60
"2771fa81-b26c-4e11-86ac-90e85faf4981","2020-08-17 18:45:43","Monday   ","Night","video","heart","positive","dogs",60
"66af1757-534a-4ef9-a5a5-9d721e7c6c00","2020-11-22 02:54:28","Sunday   ","Morning","audio","heart","positive","healthy eating",60
"5fefd228-c550-4023-b767-ec8aa62de850","2021-04-02 14:54:31","Friday   ","Afternoon","video","heart","positive","cooking",60
"5fefd228-c550-4023-b767-ec8aa62de850","2021-05-28 15:31:49","Friday   ","Afternoon","video","heart","positive","cooking",60
"5fefd228-c550-4023-b767-ec8aa62de850","2021-01-16 23:32:43","Saturday ","Night","video","heart","positive","cooking",60
"954678ba-9ecc-4c0c-93a3-aba0e289cfbf","2020-09-11 22:05:07","Friday   ","Night","audio","heart","positive","dogs",60
"954678ba-9ecc-4c0c-93a3-aba0e289cfbf","2021-04-16 09:23:36","Friday   ","Morning","audio","heart","positive","dogs",60
"954678ba-9ecc-4c0c-93a3-aba0e289cfbf","2020-08-07 15:11:32","Friday   ","Afternoon","audio","heart","positive","dogs",60
"041bf6c9-8b33-4ca0-a787-762eb8837d0c","2021-01-07 05:01:17","Thursday ","Morning","GIF","heart","positive","food",60
"041bf6c9-8b33-4ca0-a787-762eb8837d0c","2021-06-10 05:34:43","Thursday ","Morning","GIF","heart","positive","food",60
"041bf6c9-8b33-4ca0-a787-762eb8837d0c","2021-02-14 14:28:45","Sunday   ","Afternoon","GIF","heart","positive","food",60
"42a0f482-d3a8-4216-ba0b-1459abf854a6","2020-12-20 00:54:05","Sunday   ","Morning","GIF","heart","positive","culture",60
"c4cc899d-4c35-47fd-9710-8e2dea9782c9","2020-08-17 11:40:23","Monday   ","Morning","photo","heart","positive","science",60
"c4cc899d-4c35-47fd-9710-8e2dea9782c9","2020-07-12 09:06:47","Sunday   ","Morning","photo","heart","positive","science",60
"52be2c2f-be1f-4cda-a2d6-5c147c018115","2020-10-22 20:16:57","Thursday ","Night","audio","heart","positive","food",60
"52be2c2f-be1f-4cda-a2d6-5c147c018115","2020-10-08 00:42:07","Thursday ","Morning","audio","heart","positive","food",60
"8891433d-d874-4bd5-a8ca-4114a4131b20","2020-12-19 07:44:12","Saturday ","Morning","GIF","heart","positive","tennis",60
"8891433d-d874-4bd5-a8ca-4114a4131b20","2020-10-24 20:38:03","Saturday ","Night","GIF","heart","positive","tennis",60
"8891433d-d874-4bd5-a8ca-4114a4131b20","2020-08-19 15:06:13","Wednesday","Afternoon","GIF","heart","positive","tennis",60
"8f82022e-2ba7-4269-ab8f-3b47f87004de","2021-02-18 13:44:24","Thursday ","Afternoon","audio","heart","positive","healthy eating",60
"8f82022e-2ba7-4269-ab8f-3b47f87004de","2021-05-19 22:39:54","Wednesday","Night","audio","heart","positive","healthy eating",60
"f0c6ae88-c87e-4812-9713-ae45018a1f73","2021-05-11 13:10:33","Tuesday  ","Afternoon","photo","heart","positive","science",60
"8d7a1aff-abed-432f-a458-a4ab40324e72","2021-02-14 01:04:25","Sunday   ","Morning","GIF","heart","positive","travel",60
"21bc3be6-6bd1-4926-8bee-c4585873851b","2020-08-23 02:21:05","Sunday   ","Morning","video","heart","positive","soccer",60
"21bc3be6-6bd1-4926-8bee-c4585873851b","2020-08-10 20:51:03","Monday   ","Night","video","heart","positive","soccer",60
"abae4f43-2356-4c6b-b51d-d2acf4644956","2021-03-09 09:16:41","Tuesday  ","Morning","GIF","heart","positive","fitness",60
"abae4f43-2356-4c6b-b51d-d2acf4644956","2020-09-05 06:03:27","Saturday ","Morning","GIF","heart","positive","fitness",60
"abae4f43-2356-4c6b-b51d-d2acf4644956","2021-03-18 22:44:40","Thursday ","Night","GIF","heart","positive","fitness",60
"d61c4f76-99c6-4cd7-aaad-b3561880aa26","2020-07-13 07:41:20","Monday   ","Morning","photo","heart","positive","technology",60
"0a390a93-0e59-4a7a-a12c-d3f5ce4924fe","2021-01-25 00:02:11","Monday   ","Morning","video","heart","positive","public speaking",60
"0a390a93-0e59-4a7a-a12c-d3f5ce4924fe","2020-09-21 08:48:36","Monday   ","Morning","video","heart","positive","public speaking",60
"0a390a93-0e59-4a7a-a12c-d3f5ce4924fe","2021-01-31 11:24:55","Sunday   ","Morning","video","heart","positive","public speaking",60
"4ae90f6e-da63-4ce2-a357-a4b36c739b80","2021-06-09 04:51:20","Wednesday","Morning","GIF","heart","positive","travel",60
"aa1f824d-9df0-4b4c-a49e-0cfb7e244122","2021-05-19 04:18:30","Wednesday","Morning","audio","heart","positive","public speaking",60
"aa1f824d-9df0-4b4c-a49e-0cfb7e244122","2020-10-03 08:14:50","Saturday ","Morning","audio","heart","positive","public speaking",60
"aa1f824d-9df0-4b4c-a49e-0cfb7e244122","2021-01-20 22:08:10","Wednesday","Night","audio","heart","positive","public speaking",60
"aa1f824d-9df0-4b4c-a49e-0cfb7e244122","2021-01-01 13:45:29","Friday   ","Afternoon","audio","heart","positive","public speaking",60
"aa1f824d-9df0-4b4c-a49e-0cfb7e244122","2021-03-25 14:54:26","Thursday ","Afternoon","audio","heart","positive","public speaking",60
"c892a472-bf81-4946-83c0-d3697ba65b95","2020-09-06 00:38:00","Sunday   ","Morning","photo","heart","positive","soccer",60
"c892a472-bf81-4946-83c0-d3697ba65b95","2021-05-24 07:16:45","Monday   ","Morning","photo","heart","positive","soccer",60
"c892a472-bf81-4946-83c0-d3697ba65b95","2020-12-14 20:29:24","Monday   ","Night","photo","heart","positive","soccer",60
"04e1996d-ccb3-4b19-923a-8dc2a52e4bd4","2021-04-26 13:26:50","Monday   ","Afternoon","audio","heart","positive","education",60
"04e1996d-ccb3-4b19-923a-8dc2a52e4bd4","2021-05-04 14:45:55","Tuesday  ","Afternoon","audio","heart","positive","education",60
"b6393b8b-320e-4558-8614-20a6727f2eea","2020-08-19 07:19:39","Wednesday","Morning","photo","heart","positive","food",60
"b6393b8b-320e-4558-8614-20a6727f2eea","2020-07-01 10:21:10","Wednesday","Morning","photo","heart","positive","food",60
"b6393b8b-320e-4558-8614-20a6727f2eea","2021-01-14 13:10:37","Thursday ","Afternoon","photo","heart","positive","food",60
"4f215b36-f5c4-4294-81f2-80e4906b197d","2020-08-03 13:19:16","Monday   ","Afternoon","video","heart","positive","soccer",60
"4f215b36-f5c4-4294-81f2-80e4906b197d","2020-10-01 16:54:30","Thursday ","Afternoon","video","heart","positive","soccer",60
"4f215b36-f5c4-4294-81f2-80e4906b197d","2021-05-28 20:54:46","Friday   ","Night","video","heart","positive","soccer",60
"4f215b36-f5c4-4294-81f2-80e4906b197d","2020-09-10 01:45:32","Thursday ","Morning","video","heart","positive","soccer",60
"fa39acec-96b1-441d-8f85-16dfb44bdfba","2020-08-01 15:29:27","Saturday ","Afternoon","photo","heart","positive","culture",60
"fa39acec-96b1-441d-8f85-16dfb44bdfba","2020-12-18 02:44:31","Friday   ","Morning","photo","heart","positive","culture",60
"fa39acec-96b1-441d-8f85-16dfb44bdfba","2020-09-22 04:27:28","Tuesday  ","Morning","photo","heart","positive","culture",60
"fa39acec-96b1-441d-8f85-16dfb44bdfba","2020-06-29 09:27:17","Monday   ","Morning","photo","heart","positive","culture",60
"6519b8ec-1253-4f91-8abb-3c5a04eccd2b","2021-02-09 21:34:21","Tuesday  ","Night","photo","heart","positive","animals",60
"6519b8ec-1253-4f91-8abb-3c5a04eccd2b","2020-11-16 17:39:35","Monday   ","Afternoon","photo","heart","positive","animals",60
"2eb32cf2-da20-4b27-b4b6-c91716f528a5","2020-11-10 01:22:29","Tuesday  ","Morning","audio","heart","positive","veganism",60
"bfc26d2d-b5e5-415a-b104-64befef2f52a","2021-05-25 23:16:17","Tuesday  ","Night","audio","heart","positive","food",60
"bfc26d2d-b5e5-415a-b104-64befef2f52a","2020-09-27 15:54:47","Sunday   ","Afternoon","audio","heart","positive","food",60
"bfc26d2d-b5e5-415a-b104-64befef2f52a","2021-04-16 14:08:52","Friday   ","Afternoon","audio","heart","positive","food",60
"bfc26d2d-b5e5-415a-b104-64befef2f52a","2020-08-28 14:42:47","Friday   ","Afternoon","audio","heart","positive","food",60
"7ef17afb-ded2-4675-9800-2cf7fe58e6b1","2021-01-20 19:13:20","Wednesday","Night","audio","heart","positive","studying",60
"295ff9f6-64f3-4704-9272-4a932f11d709","2021-03-09 00:10:13","Tuesday  ","Morning","video","heart","positive","travel",60
"f43114af-edb4-4629-bc15-7a483cf3eaf4","2021-03-15 23:51:37","Monday   ","Night","photo","heart","positive","technology",60
"4b6d1c04-e75d-4e96-b5f7-f49c4af8d89b","2020-09-27 23:41:48","Sunday   ","Night","audio","heart","positive","veganism",60
"9a517a10-7dd2-4a30-b67a-925569d9ed84","2020-10-19 18:50:39","Monday   ","Night","audio","heart","positive","science",60
"9a517a10-7dd2-4a30-b67a-925569d9ed84","2020-10-26 12:39:42","Monday   ","Afternoon","audio","heart","positive","science",60
"9a517a10-7dd2-4a30-b67a-925569d9ed84","2020-06-22 19:11:48","Monday   ","Night","audio","heart","positive","science",60
"9a517a10-7dd2-4a30-b67a-925569d9ed84","2021-01-17 05:16:21","Sunday   ","Morning","audio","heart","positive","science",60
"c24a56ff-256e-46eb-9936-a6284451fc61","2020-12-17 04:05:09","Thursday ","Morning","video","heart","positive","studying",60
"c24a56ff-256e-46eb-9936-a6284451fc61","2021-05-11 14:30:40","Tuesday  ","Afternoon","video","heart","positive","studying",60
"c24a56ff-256e-46eb-9936-a6284451fc61","2021-02-07 08:04:00","Sunday   ","Morning","video","heart","positive","studying",60
"8caec934-9519-47de-8dd4-b6d65e279661","2021-03-06 16:26:05","Saturday ","Afternoon","audio","heart","positive","public speaking",60
"8caec934-9519-47de-8dd4-b6d65e279661","2020-11-09 15:28:09","Monday   ","Afternoon","audio","heart","positive","public speaking",60
"8caec934-9519-47de-8dd4-b6d65e279661","2021-05-09 11:53:43","Sunday   ","Morning","audio","heart","positive","public speaking",60
"8caec934-9519-47de-8dd4-b6d65e279661","2020-11-16 17:46:56","Monday   ","Afternoon","audio","heart","positive","public speaking",60
"8caec934-9519-47de-8dd4-b6d65e279661","2020-06-26 15:33:09","Friday   ","Afternoon","audio","heart","positive","public speaking",60
"3c6354b3-7e8a-4d8c-bb80-33f17c17bd32","2020-09-08 19:34:52","Tuesday  ","Night","audio","heart","positive","cooking",60
"3c6354b3-7e8a-4d8c-bb80-33f17c17bd32","2021-05-06 16:11:16","Thursday ","Afternoon","audio","heart","positive","cooking",60
